name,star,rating,review
"Infinix Hot 10 Play (Morandi Green, 64 GB)",4.6,477,36
"Infinix Hot 10 Play (Aegean Blue, 64 GB)",4.6,477,36
"MOTOROLA G60 (Frosted Champagne, 128 GB)",4.2,89,5
"REDMI 9i (Sea Blue, 64 GB)",4.3,"2,63,551","14,938"
"realme C21 (Cross Blue, 64 GB)",4.4,"3,426",185
"realme Narzo 20 (Glory Silver, 64 GB)",4.3,"3,92,114","30,632"
"REDMI 9i (Midnight Black, 64 GB)",4.3,"2,63,551","14,938"
"realme C21 (Cross Black, 64 GB)",4.4,"3,426",185
"POCO M3 (Power Black, 128 GB)",4.3,"1,00,519","7,830"
"REDMI 9i (Nature Green, 64 GB)",4.3,"2,63,551","14,938"
"POCO M3 (Yellow, 64 GB)",4.3,"1,00,519","7,830"
"REDMI Note 9 (Arctic White, 64 GB)",4.3,"19,212","1,436"
"POCO M3 (Cool Blue, 128 GB)",4.3,"1,00,519","7,830"
"realme Narzo 20 (Victory Blue, 128 GB)",4.3,"3,92,114","30,632"
"realme Narzo 20 (Glory Silver, 128 GB)",4.3,"3,92,114","30,632"
"POCO M3 (Yellow, 128 GB)",4.3,"1,00,519","7,830"
"realme 7i (Fusion Green, 64 GB)",4.3,"2,67,871","19,711"
"realme 7 (Mist White, 64 GB)",4.3,"2,36,438","23,192"
"POCO M3 (Cool Blue, 64 GB)",4.3,"1,00,519","7,830"
"Redmi 9 Prime (Space Blue, 64 GB)",4.4,"98,005","6,539"
"POCO X3 (Cobalt Blue, 64 GB)",4.4,"1,64,655","16,299"
"Redmi 9 Prime (Mint Green, 64 GB)",4.4,"98,005","6,539"
"POCO X3 Pro (Steel Blue, 128 GB)",4.5,"5,587",624
"realme Narzo 30A (Laser Blue, 64 GB)",4.4,"22,684","1,443"
"realme Narzo 30A (Laser Black, 64 GB)",4.4,"22,684","1,443"
"REDMI 9 Power (Blazing Blue, 64 GB)",4.3,"18,591","1,430"
"POCO X3 Pro (Graphite Black, 128 GB)",4.5,"5,587",624
"REDMI Note 9 (Shadow Black, 64 GB)",4.3,"19,212","1,436"
"realme 7i (Fusion Green, 128 GB)",4.3,"2,67,871","19,711"
"realme 7i (Fusion Blue, 64 GB)",4.3,"2,67,871","19,711"
"realme Narzo 20 (Victory Blue, 64 GB)",4.3,"3,92,114","30,632"
"Infinix Hot 10 (Amber Red, 64 GB)",4.4,"56,487","4,561"
"Infinix Hot 10 (Obsidian Black, 64 GB)",4.4,"56,487","4,561"
"Infinix Hot 10 (Moonlight Jade, 64 GB)",4.4,"56,487","4,561"
"realme 7 (Mist Blue, 64 GB)",4.3,"2,36,437","23,192"
"realme 7 (Mist White, 128 GB)",4.3,"75,845","7,408"
"realme 8 (Cyber Black, 128 GB)",4.4,789,69
"Redmi 9 Prime (Sunrise Flare, 64 GB)",4.4,"98,005","6,539"
"POCO X3 (Shadow Gray, 64 GB)",4.4,"1,64,655","16,300"
"Infinix Hot 10 (Amber Red, 128 GB)",4.3,"65,900","6,742"
"Infinix Hot 10 (Ocean Wave, 128 GB)",4.3,"65,900","6,742"
"POCO X3 (Cobalt Blue, 128 GB)",4.3,"25,742","2,477"
"POCO X3 (Cobalt Blue, 128 GB)",4.4,"1,64,655","16,300"
"REDMI 9 Power (Electric Green, 64 GB)",4.3,"18,591","1,430"
"Infinix Hot 10 (Ocean Wave, 64 GB)",4.4,"56,487","4,561"
"REDMI Note 9 (Aqua Green, 64 GB)",4.3,"19,212","1,436"
"realme C25 (Watery Grey, 128 GB)",4.5,"2,715",136
"realme C25 (Watery Blue, 128 GB)",4.5,"2,715",136
"realme Narzo 20 Pro (Black Ninja, 64 GB)",4.3,"88,137","6,992"
"POCO C3 (Arctic Blue, 64 GB)",4.3,"1,54,802","9,606"
"POCO X3 (Shadow Gray, 128 GB)",4.4,"1,64,655","16,300"
"Redmi 9 Prime (Matte Black, 64 GB)",4.4,"98,005","6,539"
"POCO M3 (Power Black, 64 GB)",4.3,"1,00,519","7,830"
"SAMSUNG Galaxy F12 (Sea Green, 64 GB)",4.2,"8,666",840
"Infinix Hot 10 (Obsidian Black, 128 GB)",4.3,"65,900","6,742"
"Infinix Hot 10 (Moonlight Jade, 128 GB)",4.3,"65,900","6,742"
"OPPO A12 (Deep Blue, 64 GB)",4.4,"15,807",763
"POCO C3 (Matte Black, 64 GB)",4.3,"1,54,802","9,606"
"realme 7 (Mist Blue, 128 GB)",4.3,"75,845","7,408"
"OPPO A12 (Blue, 64 GB)",4.4,"15,807",763
"POCO C3 (Lime Green, 64 GB)",4.3,"1,54,802","9,606"
"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)",4.2,"8,666",840
"realme 8 (Cyber Silver, 128 GB)",4.3,"8,000",817
"realme 8 (Cyber Black, 128 GB)",4.3,"3,178",328
"POCO M2 Reloaded (Greyish Black, 64 GB)",4.6,280,17
"REDMI Note 9 (Pebble Grey, 64 GB)",4.3,"19,212","1,436"
"POCO M2 Reloaded (Mostly Blue, 64 GB)",4.6,280,17
"SAMSUNG Galaxy F12 (Celestial Black, 64 GB)",4.2,"8,666",840
"realme 8 Pro (Infinite Blue, 128 GB)",4.3,"3,479",331
"realme 8 Pro (Illuminating Yellow, 128 GB)",4.3,"10,980","1,122"
"realme 8 Pro (Illuminating Yellow, 128 GB)",4.3,"3,479",331
"realme 8 Pro (Infinite Black, 128 GB)",4.3,"10,980","1,122"
"realme C25 (Watery Grey, 64 GB)",4.5,"2,715",136
"realme C25 (Watery Blue, 64 GB)",4.5,"2,715",136
"realme Narzo 20 Pro (Black Ninja, 128 GB)",4.3,"45,572","3,759"
"REDMI Note 10 (Shadow Black, 64 GB)",4.3,851,67
"OPPO A12 (Flowing Silver, 64 GB)",4.4,"15,807",763
"realme Narzo 30 Pro 5G (Sword Black, 64 GB)",4.4,"10,805",951
"REDMI 9 Power (Mighty Black, 64 GB)",4.3,"18,591","1,430"
"POCO M2 Pro (Out of the Blue, 64 GB)",4.4,"2,59,737","25,966"
"REDMI Note 10 (Frost White, 64 GB)",4.3,851,67
"REDMI 9 Power (Mighty Black, 128 GB)",4.2,"3,041",235
"realme Narzo 20A (Glory Silver, 64 GB)",4.4,"1,85,518","11,623"
"realme 8 Pro (Infinite Black, 128 GB)",4.3,"3,479",331
"POCO M2 Pro (Two Shades of Black, 64 GB)",4.4,"1,89,500","19,261"
"realme 8 (Cyber Silver, 128 GB)",4.4,791,69
"realme 8 (Cyber Black, 128 GB)",4.3,"8,000",817
"realme 8 (Cyber Silver, 128 GB)",4.3,"3,178",328
"realme Narzo 30 Pro 5G (Blade Silver, 64 GB)",4.4,"10,805",951
"Redmi 9 Prime (Matte Black, 128 GB)",4.4,"98,006","6,539"
"realme C15 Qualcomm Edition (Power Blue, 64 GB)",4.4,"52,575","2,833"
"realme C15 Qualcomm Edition (Power Silver, 64 GB)",4.4,"52,575","2,833"
"SAMSUNG Galaxy F12 (Sea Green, 128 GB)",4.2,"8,667",840
"realme X7 5G (Nebula, 128 GB)",4.3,"5,323",456
"realme X7 5G (Space Silver, 128 GB)",4.4,"22,981","2,310"
"MOTOROLA E7 Power (Tahiti Blue, 64 GB)",4.1,"16,355","1,546"
"MOTOROLA G10 Power (Breeze Blue, 64 GB)",4.1,"9,545",870
"SAMSUNG Galaxy F12 (Celestial Black, 128 GB)",4.2,"8,667",815
"SAMSUNG Galaxy F41 (Fusion Black, 64 GB)",4.3,"2,60,229","30,529"
"POCO M2 Pro (Two Shades of Black, 64 GB)",4.4,"2,59,733","25,958"
"SAMSUNG Galaxy F41 (Fusion Green, 64 GB)",4.3,"2,60,229","30,529"
"SAMSUNG Galaxy F12 (Sky Blue, 128 GB)",4.2,"8,667",815
"MOTOROLA G30 (Dark Pearl, 64 GB)",4,"10,329","1,132"
"SAMSUNG Galaxy F41 (Fusion Blue, 64 GB)",4.3,"2,60,229","30,529"
"MOTOROLA G10 Power (Aurora Grey, 64 GB)",4.1,"9,545",870
"ViVO Y51A (Crystal Symphony, 128 GB)",4.4,"2,760",197
"POCO M2 (Pitch Black, 64 GB)",4.3,"3,59,034","27,081"
"SAMSUNG Galaxy F41 (Fusion Blue, 128 GB)",4.3,"2,60,229","30,529"
"MOTOROLA G60 (Dynamic Gray, 128 GB)",4.2,90,5
"Infinix Hot 10 Play (Obsidian Black, 64 GB)",4.5,473,33
"Infinix Hot 10 Play (7Â° Purple, 64 GB)",4.5,473,33
"realme C12 (Power Blue, 64 GB)",4.4,"8,645",435
"realme C12 (Power Silver, 64 GB)",4.4,"8,645",435
"realme 7i (Fusion Green, 128 GB)",4.3,"2,67,871","19,701"
"OPPO A12 (Black, 64 GB)",4.4,"15,795",761
"realme 8 Pro (Infinite Blue, 128 GB)",4.3,"10,981","1,106"
"realme Narzo 20 Pro (White Knight, 128 GB)",4.3,"45,568","3,757"
"realme Narzo 20 Pro (White Knight, 64 GB)",4.3,"88,131","6,987"
"realme Narzo 20A (Victory Blue, 64 GB)",4.4,"1,85,519","11,621"
"POCO X3 Pro (Steel Blue, 128 GB)",4.4,"2,128",272
"SAMSUNG Galaxy F41 (Fusion Green, 128 GB)",4.3,"2,60,229","30,541"
"ViVO Y20G (Obsidian Black, 128 GB)",4.3,999,55
"ViVO Y20G (Obsidian Black, 64 GB)",4.3,"1,033",59
"ViVO Y20G (Purist Blue, 64 GB)",4.3,"1,033",59
"ViVO Y31 (Ocean Blue, 128 GB)",4.4,"2,489",191
"REDMI 9 Power (Fiery Red, 64 GB)",4.3,"18,591","1,430"
"Redmi 9 Prime (Space Blue, 128 GB)",4.4,"98,006","6,539"
"Redmi 9 Prime (Mint Green, 128 GB)",4.4,"98,006","6,539"
"SAMSUNG Galaxy F41 (Fusion Black, 128 GB)",4.3,"2,60,229","30,541"
"Google Pixel 4a (Just Black, 128 GB)",4.6,"17,105","3,168"
"realme X7 5G (Space Silver, 128 GB)",4.3,"5,323",456
"SAMSUNG Galaxy M12 (Blue, 64 GB)",4.1,103,8
"ViVO Y51A (Titanium Sapphire, 128 GB)",4.4,"2,762",197
"realme X7 5G (Nebula, 128 GB)",4.4,"22,981","2,310"
"REDMI Note 10 (Shadow Black, 64 GB)",4.3,851,67
"REDMI Note 9 (Aqua Green, 128 GB)",4.3,"3,098",203
"ViVO Y20G (Purist Blue, 128 GB)",4.3,999,55
"ViVO Y31 (Racing Black, 128 GB)",4.4,"2,489",191
"REDMI Note 10 Pro (Glacial Blue, 128 GB)",4.4,90,11
"MOTOROLA G9 Power (Electric Violet, 64 GB)",4.1,"23,781","2,404"
"Redmi 9 (Sporty Orange, 64 GB)",4.2,"11,513",677
"REDMI Note 10 Pro Max (Dark Night, 128 GB)",4.2,483,43
"REDMI Note 10 Pro Max (Glacial Blue, 128 GB)",4.4,85,8
"Redmi 9 (Sky Blue, 64 GB)",4.2,"11,513",677
